WorkloadId,Status,Instance,Region,Mode,Created,Completed,QPU,Usage (seconds),User,Tags,Account
d8tcf5lposuc738oh5eg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-23T17:51:18.826Z,2026-06-23T17:55:14.663Z,ibm_fez,5,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8rpa3mab0ds73drvdjg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-21T07:38:54.466Z,2026-06-21T07:39:03.571Z,ibm_fez,5,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8rp6eq01fac73d4k73g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-21T07:31:08.047Z,2026-06-21T07:31:19.806Z,ibm_fez,5,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8r3cjq01fac73d3rgug,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-20T06:42:24.121Z,2026-06-20T06:42:30.217Z,ibm_fez,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8r1ro6kodhs7383svb0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-20T04:58:09.153Z,2026-06-20T04:58:15.866Z,ibm_fez,2,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8qo05a01fac73d3e8tg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-19T17:44:53.889Z,2026-06-19T19:14:08.834Z,ibm_fez,2,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8qn0k6ab0ds73dqomc0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-19T16:37:36.084Z,2026-06-19T19:14:08.105Z,ibm_fez,2,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8psn2ekodhs7382b6sg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-18T10:42:17.541Z,2026-06-18T10:42:23.000Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8psn0ukodhs7382b6pg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-18T10:42:11.232Z,2026-06-18T10:42:16.033Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8psmv6gbcrc73f2gprg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-18T10:42:04.901Z,2026-06-18T10:42:09.766Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8psmta01fac73d271eg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-18T10:41:57.845Z,2026-06-18T10:42:03.588Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8psmrmkodhs7382b6i0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-18T10:41:50.673Z,2026-06-18T10:41:55.938Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8psmq6gbcrc73f2gpkg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-18T10:41:44.083Z,2026-06-18T10:41:49.262Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8psmo6ab0ds73dpiqtg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-18T10:41:36.100Z,2026-06-18T10:41:41.770Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8psmmeab0ds73dpiqs0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-18T10:41:29.089Z,2026-06-18T10:41:34.718Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8psmka01fac73d2712g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-18T10:41:21.880Z,2026-06-18T10:41:27.195Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8psmimgbcrc73f2gp90,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-18T10:41:14.705Z,2026-06-18T10:41:20.334Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgl56gbcrc73f215b0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:59:00.696Z,2026-06-17T20:59:09.185Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgl0q01fac73d1nc70,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:58:43.637Z,2026-06-17T20:58:58.619Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgkv6ab0ds73dp36ng,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:58:36.887Z,2026-06-17T20:58:41.743Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgkt6gbcrc73f214rg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:58:29.024Z,2026-06-17T20:58:34.637Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgkr6kodhs7381rfl0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:58:20.997Z,2026-06-17T20:58:26.848Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgkpmgbcrc73f214j0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:58:14.069Z,2026-06-17T20:58:18.995Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgknukodhs7381rfbg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:58:07.095Z,2026-06-17T20:58:12.081Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgklukodhs7381rf8g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:57:59.561Z,2026-06-17T20:58:04.737Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgkk6kodhs7381rf40,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:57:52.272Z,2026-06-17T20:57:57.511Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgkhuab0ds73dp35p0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:57:43.554Z,2026-06-17T20:57:49.984Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgddmab0ds73dp2ls0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:42:30.526Z,2026-06-17T20:42:36.126Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgdbq01fac73d1mrl0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:42:23.099Z,2026-06-17T20:42:28.411Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgd9uab0ds73dp2ll0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:42:15.655Z,2026-06-17T20:42:20.549Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgd86gbcrc73f20jd0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:42:08.775Z,2026-06-17T20:42:13.498Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgd6eab0ds73dp2leg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:42:01.204Z,2026-06-17T20:42:06.432Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgd4egbcrc73f20j4g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:41:53.858Z,2026-06-17T20:41:59.185Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
d8pgd2i01fac73d1mr20,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-06-17T20:41:46.334Z,2026-06-17T20:41:51.448Z,ibm_marrakesh,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
